state,county,population,ghi_upper,ghi_lower,ghi_range,climate_zone,lat,long,tmy3_location,avg_rep,peak_load,avg_load,load_factor,AIF_base,AID_base,EENS_base
Kentucky,Jefferson County,766757,4.5,4,4 - 4.5,Mixed Humid,38.183,-85.733,724230,0.1161,3.984168463,1.46641823,0.368061301,0.3044,3.48,5.10313544
California,San Mateo County,766573,5.5,5,5 - 5.5,Marine,37.617,-122.4,724940,0.2651,1.958576864,0.863309451,0.440784055,0.3044,3.48,3.00431689
California,San Joaquin County,762148,5.5,5,5 - 5.5,Hot Dry,37.9,-121.233,724920,0.2651,4.085273827,1.027648618,0.251549507,0.3044,3.48,3.57621719
Georgia,Cobb County,760141,5,4.5,4.5 - 5,Mixed Humid,33.917,-84.517,722270,0.1239,3.898953688,1.453044644,0.372675533,0.3044,3.48,5.05659536
Georgia,DeKalb County,759297,5,4.5,4.5 - 5,Mixed Humid,33.867,-84.3,722196,0.1349,4.302045964,1.474888209,0.342834135,0.3044,3.48,5.132610966
New York,Monroe County,741770,4,3.5,3.5 - 4,Cold,43.117,-77.683,725290,0.1406,2.413876236,1.032555601,0.427758303,0.3044,3.48,3.593293493
Colorado,Denver County,727211,5,4.5,4.5 - 5,Cold,39.742,-105.179,724666,0.1296,2.466006124,1.029644526,0.417535267,0.3044,3.48,3.58316295
Florida,Polk County,724777,5.5,5,5 - 5.5,Hot Humid,27.983,-82.017,722119,0.1221,6.0908121,1.657205646,0.272082872,0.3044,3.48,5.767075648
Colorado,El Paso County_co,720403,5,4.5,4.5 - 5,Cold,38.817,-104.717,724660,0.141,2.35711693,1.026137102,0.43533568,0.3044,3.48,3.570957117
Massachusetts,Norfolk County,706775,4.5,4,4 - 4.5,Cold,42.183,-71.183,725098,0.2577,2.395962425,1.033514529,0.431356735,0.3044,3.48,3.596630562
District of Columbia,District of Columbia,705749,4.5,4,4 - 4.5,Mixed Humid,38.867,-77.033,724050,0.1238,4.188787104,1.470597768,0.351079616,0.3044,3.48,5.117680231
Missouri,Jackson County,703011,4.5,4,4 - 4.5,Mixed Humid,39.117,-94.6,724463,0.1234,4.568209859,1.535238765,0.336070105,0.3044,3.48,5.342630903
Illinois,Lake County,696535,4.5,4,4 - 4.5,Cold,42.417,-87.867,725347,0.12,2.552366657,1.041380987,0.40800603,0.3044,3.48,3.624005834
Tennessee,Davidson County,694144,4.5,4,4 - 4.5,Mixed Humid,36.117,-86.683,723270,0.126,4.178838291,1.498142142,0.358506848,0.3044,3.48,5.213534655
Illinois,Will County,690743,4.5,4,4 - 4.5,Cold,41.767,-88.467,744655,0.12,2.659633873,1.050004707,0.394792952,0.3044,3.48,3.65401638
New Mexico,Bernalillo County,679121,6,5.5,5.5 - 6,Hot Dry,35.04,-106.62,723650,0.146,3.434423478,1.030943367,0.300179455,0.3044,3.48,3.587682917
New Jersey,Hudson County,672391,4.5,4,4 - 4.5,Mixed Humid,40.717,-74.183,725020,0.1616,4.202655359,1.427523056,0.339671692,0.3044,3.48,4.967780233
